trust_ppl_08,proud_08,geograph_01_08,geograph_02_08,sex_08,year_of_birth_08,education_08,school_08,allow_work_08,avoid_criminal,avoid_other_race,avoid_LW,avoid_alchoholics,avoid_RW,avoid_families,avoid_neurotic,avoid_muslims,avoid_immigrants,avoid_ppl_w_aids,avoid_drug_addicts,avoid_homosexuals,avoid_jews,avoid_gypsies
most can be trusted,quite proud,own town,own country,female,40-49 år,NA,student or HF,allow as long as there is jobs for Danes,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,local region,Europe,female,60-69 år,technical - 2-3 years,gymnasium or simmilar no examn,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,checked,not checked,not checked,checked
can't be too careful,very proud,own town,own country,male,60-69 år,NA,real- girl- and preliminary examn,allow as long as there is jobs for Danes,checked,not checked,not checked,checked,not checked,checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,not very proud,own country,the whole world,female,50-59 år,NA,real- girl- and preliminary examn,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,female,70 år +,technical - 2-3 years,10th grade,allow as long as there is jobs for Danes,checked,checked,not checked,checked,checked,not checked,not checked,checked,checked,not checked,not checked,checked,checked,checked
can't be too careful,very proud,the whole world,own country,male,18-29 år,NA,9th grade,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,checked,checked,not checked,not checked
can't be too careful,quite proud,own town,own country,female,60-69 år,social- and health - 3-4 years,8th grade,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,local region,own country,female,30-39 år,master from university,gymnasium or simmilar no examn,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,female,40-49 år,education - 3-4 years,10th grade,allow as long as there is jobs for Danes,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
most can be trusted,quite proud,own country,Europe,male,60-69 år,education - 3-4 years,8th grade,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,very proud,own country,own town,female,40-49 år,short buisness or computer science,student or HF,everybody allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,undetermined,own town,Europe,female,30-39 år,skilled education,10th grade,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,Europe,female,30-39 år,skilled education,10th grade,limmit amount of foreigners in the country,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,very proud,own country,the whole world,female,50-59 år,education - 3-4 years,student or HF,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own country,own town,male,40-49 år,master from university,student or HF,limmit amount of foreigners in the country,checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own country,own town,male,40-49 år,master from university,student or HF,limmit amount of foreigners in the country,not checked,not checked,checked,checked,checked,not checked,checked,checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,male,40-49 år,buisness or banking,student or HF,allow as long as there is jobs for Danes,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,male,60-69 år,NA,7th grade or less,allow as long as there is jobs for Danes,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own country,female,50-59 år,master from university,real- girl- and preliminary examn,allow as long as there is jobs for Danes,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own country,female,50-59 år,short buisness or computer science,real- girl- and preliminary examn,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,female,60-69 år,NA,real- girl- and preliminary examn,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,own country,male,70 år +,short buisness or computer science,7th grade or less,limmit amount of foreigners in the country,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
most can be trusted,not very proud,own country,local region,male,60-69 år,master from university,student or HF,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,Europe,male,70 år +,skilled education,other,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,quite proud,own country,Europe,female,50-59 år,social- and health - 3-4 years,student or HF,allow as long as there is jobs for Danes,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
can't be too careful,very proud,own country,Europe,male,30-39 år,FE technical,10th grade,limmit amount of foreigners in the country,checked,not checked,checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,very proud,local region,Europe,female,50-59 år,buisness or banking,student or HF,limmit amount of foreigners in the country,checked,checked,checked,checked,not checked,not checked,not checked,checked,not checked,checked,checked,not checked,not checked,checked
can't be too careful,undetermined,the whole world,Europe,male,30-39 år,skilled education,10th grade,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,checked,not checked,not checked
can't be too careful,very proud,own town,local region,male,40-49 år,NA,10th grade,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,quite proud,local region,own town,female,18-29 år,skilled education,student or HF,limmit amount of foreigners in the country,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,dont know,dont know,male,18-29 år,skilled education,student or HF,everybody allowed,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,undetermined,own town,own country,male,60-69 år,FE technical,real- girl- and preliminary examn,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,checked,checked,not checked,not checked,checked
can't be too careful,very proud,own town,local region,male,18-29 år,skilled education,student or HF,limmit amount of foreigners in the country,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
can't be too careful,very proud,own town,local region,male,70 år +,NA,7th grade or less,forbid foreigners to enter the country,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,not checked
can't be too careful,quite proud,own country,own town,female,60-69 år,education - 3-4 years,student or HF,dont know,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked
